Employee,JobFamily,Total Benefits,Total Compensation,Percentage
31978,Street Transit,3510.67,9489.15,36.996675150039785
27319,Public Service Aide,17121.413999999997,46279.60600000001,36.99559153550268
35356,Street Transit,6144.030000000001,16613.91,36.98124041842048
2317,Street Transit,14248.615000000002,38542.945,36.968153315736515
8500,Street Transit,14032.210000000001,37963.165,36.96269792047107
43083,Street Transit,11420.15,30896.505,36.96259496017429
29124,Street Transit,12255.6,33162.975000000006,36.95567119656785
15028,Street Transit,2218.888,6004.464000000001,36.95397291082101
54619,Street Transit,12396.416666666666,33557.10666666667,36.94125596048606
34185,Street Transit,15714.055,42545.635,36.93458800180089
45970,Street Transit,9239.035,25015.524999999998,36.93320448001791
49854,Street Transit,16145.044999999998,43724.36,36.9245999255335
972,Street Transit,19834.63,53724.9525,36.91884138938978
3918,Street Transit,21986.774,59567.793999999994,36.91050570044612
19436,Street Transit,13982.365,37884.435,36.90794121649168
47850,Street Transit,8539.61,23144.569999999996,36.896818562626144
5385,Street Transit,16166.145999999999,43825.188,36.88779612308794
3114,Street Transit,24556.424,66580.08200000001,36.882537933792264
20555,Street Transit,15247.42,41352.630000000005,36.871705620658226
6693,Agriculture & Horticulture,5740.1125,15568.2775,36.87056901445905
3567,Street Transit,14191.299999999997,38496.68,36.86369837606775
23,Street Transit,10823.984,29368.059999999998,36.85631260628043
12893,Street Transit,14269.665,38722.71,36.8508944751026
19645,Street Transit,9590.766666666668,26029.86,36.84524875149797
22118,Street Transit,16101.965,43706.18,36.84139176656482
19317,Street Transit,21828.557999999997,59284.552,36.8199763068126
50856,Street Transit,5432.01,14753.61,36.81817534827069
29325,Street Transit,25012.4025,67934.94,36.81817117966101
18220,Street Transit,9779.17,26565.83,36.811084012808934
49891,Street Transit,24545.12,66684.24799999999,36.80797300136008
3396,Street Transit,22637.236,61509.0,36.80312799752882
24214,Street Transit,6716.71,18250.645,36.802589716692204
23142,Nursing,3467.56,9422.57,36.8005756391303
49936,Street Transit,10563.66,28707.655,36.797362933336075
40838,Street Transit,9143.363333333333,24848.210000000003,36.796869204394724
6933,Street Transit,14292.215,38843.18,36.79465738901912
27095,Street Transit,11627.833333333334,31604.22,36.7920275625639
54956,Public Service Aide,18063.922,49098.166000000005,36.791439419549796
16224,Street Transit,14243.154999999999,38716.44,36.78839015157385
43517,Street Transit,13811.72,37550.035,36.782176101833194
9351,Public Service Aide,10468.41875,28461.858749999996,36.78051683817032
30811,Street Transit,14462.519999999999,39324.985,36.77692439043524
11395,Street Transit,21603.964,58744.0,36.77646057469699
36968,Street Transit,16529.55,44959.445,36.76546718937478
52199,Street Transit,18396.835,50039.762500000004,36.76443308458948
15185,Street Transit,13292.3675,36159.4225,36.76045296353945
33598,Street Transit,24230.078,65927.032,36.7528724787732
16141,Street Transit,16381.746666666668,44580.513333333336,36.746428970385715
51463,Street Transit,14399.89,39194.155,36.73989144554845
48118,Street Transit,11860.053333333331,32286.280000000002,36.73403480776767
10720,Street Transit,1285.4466666666667,3500.5766666666664,36.720997397571644
22295,Street Transit,1241.43,3381.81,36.709040425097804
51958,Street Transit,17861.05,48658.037500000006,36.70729630228099
17991,Street Transit,11345.26,30911.273333333334,36.702661445414414
19174,Street Transit,9518.09,25935.190000000002,36.6995190704213
22043,Street Transit,22537.672000000002,61412.588,36.69878234084517
13501,Street Transit,22942.110000000004,62528.933999999994,36.690390403904864
